Tarih,BIST100
2025-01-02,"9.961,34"
2024-12-31,"9.830,56"
2024-12-30,"9.889,71"
2024-12-27,"10.025,47"
2024-12-26,"9.949,01"
2024-12-25,"9.916,22"
2024-12-24,"9.672,75"
2024-12-23,"9.626,56"
2024-12-20,"9.724,50"
2024-12-19,"9.765,12"
2024-12-18,"9.915,76"
2024-12-17,"10.011,27"
2024-12-16,"9.997,66"
2024-12-13,"10.125,46"
2024-12-12,"10.058,63"
2024-12-11,"10.058,47"
2024-12-10,"10.099,03"
2024-12-09,"10.257,39"
2024-12-06,"10.081,00"
2024-12-05,"9.935,96"
2024-12-04,"9.886,05"
2024-12-03,"9.827,23"
2024-12-02,"9.681,11"
2024-11-29,"9.652,00"
2024-11-28,"9.640,08"
2024-11-27,"9.639,77"
2024-11-26,"9.636,12"
2024-11-25,"9.659,96"
2024-11-22,"9.549,89"
2024-11-21,"9.367,77"
2024-11-20,"9.031,82"
2024-11-19,"9.232,90"
2024-11-18,"9.395,39"
2024-11-15,"9.389,62"
2024-11-14,"9.420,42"
2024-11-13,"9.300,30"
2024-11-12,"9.226,86"
2024-11-11,"9.276,78"
2024-11-08,"9.184,82"
2024-11-07,"8.946,13"
2024-11-06,"8.862,32"
2024-11-05,"8.618,57"
2024-11-04,"8.663,88"
2024-11-01,"8.885,00"
2024-10-31,"8.863,88"
2024-10-30,"9.006,55"
2024-10-28,"8.945,80"
2024-10-25,"8.908,47"
2024-10-24,"8.872,85"
2024-10-23,"8.714,69"
2024-10-22,"8.838,60"
2024-10-21,"8.654,39"
2024-10-18,"8.793,61"
2024-10-17,"9.002,34"
2024-10-16,"8.956,03"
2024-10-15,"8.860,30"
2024-10-14,"8.699,19"
2024-10-11,"8.876,22"
2024-10-10,"8.964,10"
2024-10-09,"9.132,30"
2024-10-08,"9.044,89"
2024-10-07,"9.031,64"
2024-10-04,"9.109,34"
2024-10-03,"8.898,23"
2024-10-02,"9.012,87"
2024-10-01,"9.351,22"
2024-09-30,"9.665,78"
2024-09-27,"9.777,46"
2024-09-26,"9.829,19"
2024-09-25,"9.891,00"
2024-09-24,"10.029,73"
2024-09-23,"9.887,75"
2024-09-20,"9.900,25"
2024-09-19,"9.975,61"
2024-09-18,"9.774,49"
2024-09-17,"9.758,14"
2024-09-16,"9.577,46"
2024-09-13,"9.685,49"
2024-09-12,"9.521,04"
2024-09-11,"9.419,66"
2024-09-10,"9.624,04"
2024-09-09,"9.699,56"
2024-09-06,"9.771,16"
2024-09-05,"9.936,76"
2024-09-04,"9.984,93"
2024-09-03,"10.021,80"
2024-09-02,"10.110,18"
2024-08-29,"9.833,22"
2024-08-28,"9.757,16"
2024-08-27,"9.748,75"
2024-08-26,"9.565,76"
2024-08-23,"9.668,10"
2024-08-22,"9.921,40"
2024-08-21,"9.904,79"
2024-08-20,"9.982,28"
2024-08-19,"10.054,20"
2024-08-16,"9.821,96"
2024-08-15,"9.982,98"
2024-08-14,"9.830,94"
2024-08-13,"9.920,61"
2024-08-12,"9.828,56"
2024-08-09,"9.907,38"
2024-08-08,"10.098,50"
2024-08-07,"10.024,31"
2024-08-06,"9.881,23"
2024-08-05,"9.893,41"
2024-08-02,"10.473,47"
2024-08-01,"10.798,09"
