Tarih,InterestRate
2002-02-20,62.0
2002-03-14,61.0
2002-04-08,58.0
2002-04-30,55.0
2002-08-05,53.0
2002-11-11,51.0
2003-04-25,48.0
2003-06-04,45.0
2003-07-16,41.0
2003-08-06,38.0
2003-09-18,35.0
2003-10-15,31.0
2004-02-05,29.0
2004-03-17,27.0
2004-09-08,24.0
2004-12-20,22.0
2005-01-11,21.0
2005-02-09,20.5
2005-03-09,19.5
2005-04-11,19.0
2005-05-10,18.5
2005-06-09,18.25
2005-10-11,18.0
2005-11-09,17.75
2005-12-09,17.5
2006-01-02,16.5
2006-04-28,16.25
2006-06-08,18.0
2006-06-26,20.25
2006-06-28,22.25
2006-07-21,22.5
2007-09-14,22.25
2007-10-17,21.5
2007-11-15,20.75
2007-12-14,20.0
2008-01-18,19.5
2008-02-15,19.25
2008-05-16,19.75
2008-06-17,20.25
2008-07-18,20.25
2008-10-23,19.75
2008-11-20,18.75
2008-12-19,17.5
2009-01-16,15.5
2009-02-20,14.0
2009-03-20,13.0
2009-04-17,12.25
2009-05-15,11.75
2009-06-17,11.25
2009-07-17,10.75
2009-08-19,10.25
2009-09-18,9.75
2009-10-16,9.25
2009-11-20,9.0
2010-09-17,8.75
2010-10-15,8.75
2010-11-12,8.75
2010-12-17,9.0
2011-08-05,9.0
2011-10-21,12.5
2012-02-22,11.5
2012-09-19,10.0
2012-10-19,9.5
2012-11-21,9.0
2013-01-23,8.75
2013-02-20,8.5
2013-03-27,7.5
2013-04-17,7.0
2013-05-17,6.5
2013-07-24,7.25
2013-08-21,7.75
2014-01-29,12.0
2014-07-18,12.0
2014-08-28,11.25
2015-02-25,10.75
2016-03-25,10.5
2016-04-21,10.0
2016-05-25,9.5
2016-06-22,9.0
2016-07-20,8.75
2016-08-24,8.5
2016-09-23,8.25
2016-11-25,8.5
2017-01-25,9.25
2018-06-01,16.5
2018-06-08,19.25
2018-09-14,24.0
2018-09-21,25.5
2019-07-26,21.25
2019-09-13,18.0
2019-10-25,15.5
2019-12-13,13.5
2020-01-17,12.75
2020-02-20,12.25
2020-03-18,11.25
2020-04-23,10.25
2020-05-22,9.75
2020-09-25,11.75
2020-11-20,15.0
2020-11-27,16.5
2020-12-25,18.5
2021-03-19,20.5
2021-09-24,19.5
2021-10-22,17.5
2021-11-19,16.5
2021-12-17,15.5
2022-08-19,14.5
2022-09-23,13.5
2022-10-21,12.0
2022-11-25,10.5
2023-02-24,10.0
2023-06-23,16.5
2023-07-21,19.0
2023-08-25,26.5
2023-09-22,31.5
2023-10-27,36.5
2023-11-24,41.5
2023-12-22,44.0
2024-01-26,46.5
2024-03-22,53.0
2024-12-27,49.0
