Tarih,M1
2015-01-01,251419161
2015-02-01,256672749
2015-03-01,261935572
2015-04-01,273990507
2015-05-01,280246416
2015-06-01,285907662
2015-07-01,294157799
2015-08-01,302536632
2015-09-01,322378629.6
2015-10-01,308090197
2015-11-01,307160178.6
2015-12-01,312005972.8
2016-01-01,307780793.6
2016-02-01,312767157.7
2016-03-01,315704986.4
2016-04-01,322480264.3
2016-05-01,325211114.4
2016-06-01,336562967.9
2016-07-01,344856749.9
2016-08-01,343756070.7
2016-09-01,347747514.9
2016-10-01,348794511.3
2016-11-01,359751417.3
2016-12-01,382351495.9
2017-01-01,376732225.1
2017-02-01,377212027.2
2017-03-01,401173247.1
2017-04-01,419127389.9
2017-05-01,411475365.4
2017-06-01,421573144.9
2017-07-01,419416200.2
2017-08-01,433232692.8
2017-09-01,434181237.8
2017-10-01,429971761.3
2017-11-01,437243382.4
2017-12-01,449631796.2
2018-01-01,428232624.2
2018-02-01,433707515.4
2018-03-01,451583613.3
2018-04-01,463082040
2018-05-01,496312573.8
2018-06-01,513594608.3
2018-07-01,509485823
2018-08-01,588067823.4
2018-09-01,559184534.7
2018-10-01,523005315.1
2018-11-01,488062659.1
2018-12-01,512524057
2019-01-01,505911427.9
2019-02-01,517326638.6
2019-03-01,569489652.3
2019-04-01,567678258.6
2019-05-01,612272034.9
2019-06-01,608264636.6
2019-07-01,602826682.6
2019-08-01,641486804.6
2019-09-01,655504373.2
2019-10-01,666800207.4
2019-11-01,677077914.7
2019-12-01,712832597.4
2020-01-01,736761245.8
2020-02-01,787440697.6
2020-03-01,847047259.8
2020-04-01,1004180564.1
2020-05-01,1049003889.7
2020-06-01,1101587026.7
2020-07-01,1195463719.2
2020-08-01,1212171623.3
2020-09-01,1230939243.3
2020-10-01,1274992753.2
2020-11-01,1256046132.8
2020-12-01,1219863695.3
2021-01-01,1196836433.2
2021-02-01,1174517579.2
2021-03-01,1221726118.1
2021-04-01,1274480358.8
2021-05-01,1339713644.2
2021-06-01,1375019252.8
2021-07-01,1414025728.7
2021-08-01,1413801937.5
2021-09-01,1461023866.2
2021-10-01,1566529670.3
2021-11-01,1873167064.6
2021-12-01,2097220269
2022-01-01,2117864068.9
2022-02-01,2184427230.6
2022-03-01,2307772435.7
2022-04-01,2382053021.3
2022-05-01,2539199585.1
2022-06-01,2662097003
2022-07-01,2739907121.3
2022-08-01,2775476403.9
2022-09-01,2857946610.1
2022-10-01,2950589658.2
2022-11-01,2987390833.1
2022-12-01,3131103033.1
2023-01-01,3173757165.8
2023-02-01,3250031540.7
2023-03-01,3469728070.3
2023-04-01,3672319061.7
2023-05-01,3523242341.6
2023-06-01,4180536953.5
2023-07-01,4390129242.9
2023-08-01,4545752924.9
2023-09-01,4492359898.4
2023-10-01,4565790907.7
2023-11-01,4631462146.5
2023-12-01,4757514054.1
2024-01-01,4837221517.3
2024-02-01,5049627765.7
2024-03-01,5515377505.4
2024-04-01,5452040073.7
2024-05-01,5393796967.5
2024-06-01,5532443718.7
2024-07-01,5537031408.8
2024-08-01,5982991803.2
2024-09-01,6105518000
2024-10-01,6087427998.5
2024-11-01,6089272624.5
2024-12-01,6186876801.8
