Tarih,AdjClose,Açılış,Yüksek,Düşük,Hacim,Fark%,M1,Inflation,GDP,InterestRate,USD_TRY,BIST100
2015-01-02,9.72,9.6,9.79,9.59,"11,53M","0,93%",256672749.0,7.55,534428232.29,10.9,2.34,854.59
2015-01-03,9.88,9.66,9.93,9.64,,,261935572.0,7.61,534660025.59,10.9,2.34,857.94
2015-01-04,10.04,9.71,10.06,9.7,,,273990507.0,7.91,534891818.88,10.89,2.33,861.28
2015-01-05,10.2,9.77,10.2,9.75,"31,58M","4,94%",280246416.0,8.09,535123612.17,10.89,2.33,864.63
2015-01-06,10.2,10.3,10.45,10.05,"16,00M","0,00%",285907662.0,7.2,535355405.47,10.89,2.32,869.1
2015-01-07,10.05,10.25,10.35,9.95,"17,35M","-1,47%",294157799.0,6.81,535587198.76,10.89,2.32,867.77
2015-01-08,10.1,10.25,10.25,10.0,"11,10M","0,50%",302536632.0,7.14,535818992.05,10.88,2.3,876.9
2015-01-09,9.96,10.1,10.1,9.87,"24,35M","-1,39%",322378629.6,7.95,536050785.35,10.88,2.29,876.48
2015-01-10,9.94,10.07,10.1,9.88,,,308090197.0,7.58,536282578.64,10.88,2.29,877.2
2015-01-11,9.93,10.03,10.1,9.89,,,307160178.6,8.1,536514371.93,10.87,2.29,877.93
2015-01-12,9.91,10.0,10.1,9.9,"30,40M","-0,50%",312005972.8,8.81,536746165.22,10.87,2.28,878.65
2015-01-13,9.87,9.99,10.04,9.87,"22,02M","-0,40%",311994037.27,8.81,536977958.52,10.87,2.28,883.13
2015-01-14,9.71,9.89,9.92,9.68,"26,41M","-1,62%",311982101.73,8.81,537209751.81,10.87,2.28,875.63
2015-01-15,9.33,9.73,9.76,9.31,"51,81M","-3,91%",311970166.2,8.82,537441545.1,10.86,2.31,877.43
2015-01-16,9.3,9.35,9.48,9.27,"31,49M","-0,32%",311958230.66,8.82,537673338.4,10.86,2.32,874.16
2015-01-17,9.2,9.35,9.45,9.18,,,311946295.13,8.82,537905131.69,10.86,2.33,876.13
2015-01-18,9.1,9.35,9.43,9.09,,,311934359.59,8.82,538136924.98,10.85,2.33,878.09
2015-01-19,9.0,9.35,9.4,9.0,"46,03M","-3,23%",311922424.06,8.83,538368718.28,10.85,2.34,880.06
2015-01-20,9.65,9.1,9.66,9.09,"77,52M","7,22%",311910488.52,8.83,538600511.57,10.85,2.35,892.0
2015-01-21,9.45,9.7,9.82,9.42,"45,25M","-2,07%",311898552.99,8.83,538832304.86,10.85,2.35,903.13
2015-01-22,9.52,9.5,9.62,9.26,"57,44M","0,74%",311886617.46,8.83,539064098.16,10.84,2.32,909.03
2015-01-23,9.36,9.54,9.58,9.36,"40,10M","-1,68%",311874681.92,8.83,539295891.45,10.84,2.35,907.36
2015-01-24,9.48,9.49,9.63,9.36,,,311862746.39,8.84,539527684.74,10.84,2.35,909.62
2015-01-25,9.59,9.45,9.69,9.36,,,311850810.85,8.84,539759478.04,10.84,2.35,911.87
2015-01-26,9.71,9.4,9.74,9.36,"36,13M","3,74%",311838875.32,8.84,539991271.33,10.83,2.35,914.13
2015-01-27,9.58,9.8,9.84,9.53,"38,73M","-1,34%",311826939.78,8.84,540223064.62,10.83,2.36,911.5
2015-01-28,9.43,9.64,9.66,9.43,"21,73M","-1,57%",311815004.25,8.84,540454857.92,10.83,2.38,903.42
