"Tarih","AdjClose","Açılış","Yüksek","Düşük","Hacim","Fark%"
"18.02.2025","325,00","320,00","327,00","318,50","41,07M","1,72%"
"17.02.2025","319,50","317,50","321,50","314,50","31,43M","0,87%"
"14.02.2025","316,75","319,75","323,00","315,00","26,20M","-0,78%"
"13.02.2025","319,25","320,00","321,50","318,50","22,66M","0,71%"
"12.02.2025","317,00","320,00","321,25","316,00","37,86M","-0,78%"
"11.02.2025","319,50","319,50","320,00","313,50","27,26M","-0,23%"
"10.02.2025","320,25","322,25","323,50","318,50","24,09M","-0,62%"
"07.02.2025","322,25","313,50","322,50","312,00","37,33M","2,79%"
"06.02.2025","313,50","306,50","316,25","306,50","38,13M","3,21%"
"05.02.2025","303,75","304,25","306,75","297,50","37,61M","0,08%"
"04.02.2025","303,50","314,75","316,25","303,25","39,06M","-3,27%"
"03.02.2025","313,75","315,00","318,00","311,75","35,29M","-1,03%"
"31.01.2025","317,00","313,25","317,75","313,00","32,12M","1,28%"
"30.01.2025","313,00","313,25","316,50","312,00","30,50M","0,00%"
"29.01.2025","313,00","311,75","314,50","309,00","32,49M","0,40%"
"28.01.2025","311,75","307,00","312,75","304,75","37,74M","1,71%"
"27.01.2025","306,50","307,25","312,50","304,75","44,35M","-0,81%"
"24.01.2025","309,00","310,00","311,00","306,00","25,72M","-0,24%"
"23.01.2025","309,75","306,00","311,75","303,00","38,92M","1,47%"
"22.01.2025","305,25","301,75","305,75","300,50","23,40M","1,33%"
"21.01.2025","301,25","304,25","305,50","299,75","24,19M","-1,47%"
"20.01.2025","305,75","305,00","306,00","301,75","27,88M","0,74%"
"17.01.2025","303,50","298,00","303,75","296,25","35,67M","1,93%"
"16.01.2025","297,75","299,00","300,25","295,00","33,59M","0,93%"
"15.01.2025","295,00","293,50","298,50","292,25","35,51M","0,51%"
"14.01.2025","293,50","291,25","295,25","290,00","26,35M","1,29%"
"13.01.2025","289,75","292,75","294,50","287,25","19,09M","-1,28%"
"10.01.2025","293,50","295,25","297,75","292,50","24,51M","-0,42%"
"09.01.2025","294,75","294,50","297,50","292,50","23,21M","0,60%"
"08.01.2025","293,00","293,00","295,00","291,00","24,34M","-0,17%"
"07.01.2025","293,50","296,00","298,25","293,00","27,53M","-1,18%"
