Tarih,USD_TRY
2025-01-02,"35,3476"
2025-01-01,"35,3585"
2024-12-31,"35,3350"
2024-12-30,"35,3123"
2024-12-27,"35,0702"
2024-12-26,"35,1316"
2024-12-25,"35,1905"
2024-12-24,"35,0875"
2024-12-23,"35,1642"
2024-12-20,"35,1588"
2024-12-19,"35,0675"
2024-12-18,"35,0320"
2024-12-17,"34,9746"
2024-12-16,"34,9508"
2024-12-13,"34,9238"
2024-12-12,"34,8701"
2024-12-11,"34,8540"
2024-12-10,"34,8285"
2024-12-09,"34,8059"
2024-12-06,"34,7376"
2024-12-05,"34,6778"
2024-12-04,"34,6200"
2024-12-03,"34,7071"
2024-12-02,"34,7014"
2024-11-29,"34,6913"
2024-11-28,"34,6145"
2024-11-27,"34,6206"
2024-11-26,"34,6085"
2024-11-25,"34,5452"
2024-11-22,"34,5434"
2024-11-21,"34,4565"
2024-11-20,"34,4415"
2024-11-19,"34,3000"
2024-11-18,"34,5181"
2024-11-15,"34,4185"
2024-11-14,"34,3182"
2024-11-13,"34,3501"
2024-11-12,"34,3465"
2024-11-11,"34,3169"
2024-11-08,"34,3722"
2024-11-07,"34,2177"
2024-11-06,"34,1862"
2024-11-05,"34,3118"
2024-11-04,"34,3337"
2024-11-01,"34,3020"
2024-10-31,"34,2540"
2024-10-30,"34,2044"
2024-10-29,"34,2554"
2024-10-28,"34,2822"
2024-10-25,"34,2827"
2024-10-24,"34,2181"
2024-10-23,"34,2527"
2024-10-22,"34,2357"
2024-10-21,"34,0920"
2024-10-18,"33,9850"
2024-10-17,"34,1245"
2024-10-16,"34,1594"
2024-10-15,"34,1692"
2024-10-14,"34,2569"
2024-10-11,"34,2442"
2024-10-10,"34,1519"
2024-10-09,"34,2087"
2024-10-08,"34,2407"
2024-10-07,"34,2350"
2024-10-04,"34,2500"
2024-10-03,"34,1055"
2024-10-02,"34,1819"
2024-10-01,"34,2057"
2024-09-30,"34,1605"
2024-09-27,"34,1615"
2024-09-26,"34,1398"
2024-09-25,"34,1064"
2024-09-24,"34,1137"
2024-09-23,"34,1189"
2024-09-20,"34,0926"
2024-09-19,"34,0253"
2024-09-18,"34,0687"
2024-09-17,"34,0795"
2024-09-16,"33,9779"
2024-09-13,"33,8762"
2024-09-12,"33,9086"
2024-09-11,"33,9678"
2024-09-10,"34,0122"
2024-09-09,"34,0361"
2024-09-06,"33,9505"
2024-09-05,"33,9195"
2024-09-04,"33,9857"
2024-09-03,"33,9735"
2024-09-02,"33,8799"
2024-08-30,"34,0711"
2024-08-29,"34,0694"
2024-08-28,"34,0312"
2024-08-27,"34,0006"
2024-08-26,"33,9691"
2024-08-23,"33,9588"
2024-08-22,"33,7100"
2024-08-21,"33,8313"
2024-08-20,"33,8575"
2024-08-19,"33,5690"
2024-08-16,"33,6632"
2024-08-15,"33,6042"
2024-08-14,"33,5992"
2024-08-13,"33,5301"
2024-08-12,"33,3700"
2024-08-09,"33,4839"
2024-08-08,"33,4959"
2024-08-07,"33,4293"
2024-08-06,"33,5696"
2024-08-05,"33,3248"
2024-08-02,"33,1680"
2024-08-01,"33,0853"
2024-07-31,"33,1401"
2024-07-30,"33,0794"
2024-07-29,"33,0458"
2024-07-26,"32,9042"
2024-07-25,"32,9480"
2024-07-24,"32,7792"
2024-07-23,"32,8527"
2024-07-22,"32,9085"
2024-07-19,"33,0549"
2024-07-18,"33,0488"
2024-07-17,"33,0502"
2024-07-16,"33,0531"
2024-07-15,"32,9686"
2024-07-12,"33,0214"
2024-07-11,"32,8013"
2024-07-10,"32,8564"
2024-07-09,"32,8170"
2024-07-08,"32,6745"
2024-07-05,"32,6350"
2024-07-04,"32,5130"
2024-07-03,"32,5342"
2024-07-02,"32,5470"
2024-07-01,"32,6297"
2024-06-28,"32,6485"
2024-06-27,"32,8041"
2024-06-26,"32,8379"
2024-06-25,"32,9206"
2024-06-24,"32,9169"
2024-06-21,"32,8322"
2024-06-20,"32,8060"
